Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,11,1.7649,,0.51
Pruned SAE,11,1.7757,,0.49
Pruned SAE,11,1.7759,,0.47
Pruned SAE,11,1.7747,,0.45
Pruned SAE,11,1.7704,,0.43
Pruned SAE,11,1.7712,,0.41
Pruned SAE,11,1.7702,,0.39
Pruned SAE,11,1.7732,,0.37
Pruned SAE,11,1.7715,,0.35
Pruned SAE,11,1.767,,0.33
Pruned SAE,11,1.7639,,0.31
Pruned SAE,11,1.7587,,0.29
Pruned SAE,11,1.7613,,0.27
Pruned SAE,11,1.7637,,0.25
Best sparse ratio pruned SAE,11,1.7587,1.8041,0.29
