Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,11,2.9682,,0.93
Pruned SAE,11,2.9675,,0.91
Pruned SAE,11,2.9687,,0.89
Pruned SAE,11,2.968,,0.87
Pruned SAE,11,2.9683,,0.85
Pruned SAE,11,2.9681,,0.83
Pruned SAE,11,2.9678,,0.81
Pruned SAE,11,2.9678,,0.79
Pruned SAE,11,2.9679,,0.77
Pruned SAE,11,2.968,,0.75
Pruned SAE,11,2.9685,,0.73
Pruned SAE,11,2.9683,,0.71
Pruned SAE,11,2.9685,,0.69
Pruned SAE,11,2.9689,,0.67
Pruned SAE,11,2.9687,,0.65
Pruned SAE,11,2.9681,,0.63
Pruned SAE,11,2.9683,,0.61
Pruned SAE,11,2.9686,,0.59
Pruned SAE,11,2.9685,,0.57
Pruned SAE,11,2.968,,0.55
Pruned SAE,11,2.9679,,0.53
Pruned SAE,11,2.9675,,0.51
Pruned SAE,11,2.9671,,0.49
Pruned SAE,11,2.9674,,0.47
Pruned SAE,11,2.9664,,0.45
Pruned SAE,11,2.9668,,0.43
Pruned SAE,11,2.9665,,0.41
Pruned SAE,11,2.9662,,0.39
Pruned SAE,11,2.9658,,0.37
Pruned SAE,11,2.9651,,0.35
Pruned SAE,11,2.9648,,0.33
Pruned SAE,11,2.9649,,0.31
Pruned SAE,11,2.9652,,0.29
Pruned SAE,11,2.965,,0.27
Pruned SAE,11,2.9653,,0.25
Best sparse ratio pruned SAE,11,2.9648,3.0638,0.33
